,total_game,total_achievement,total_playtime,topic_count_1,topic_count_2,topic_count_3,topic_count_4,genre_count_1,genre_count_2,genre_count_9,genre_count_13,genre_count_15,genre_count_17,topic_count_1_prop,topic_count_2_prop,topic_count_3_prop,topic_count_4_prop,genre_count_1_prop,genre_count_2_prop,genre_count_9_prop,genre_count_13_prop,genre_count_15_prop,genre_count_17_prop
76561198041304371,0.0125698324022346,0.0856678113139345,0.1230832395130747,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9627329192546584,0.0,0.9565217391304348,0.9440993788819876,0.0,0.0,0.9627329192546584
76561198045196300,0.5432960893854749,0.4402674859931321,0.0932774210778534,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2809611829944547,0.0,0.0,0.0,0.2809611829944547,0.2846580406654344,0.2809611829944547,0.0,0.0,0.0
76561198046731438,0.085195530726257,0.1424182179649376,0.3760752206886323,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7136150234741785,0.0,0.0,0.0,0.7136150234741784,0.7230046948356808,0.7136150234741784,0.0,0.0,0.0
76561198048640355,0.4650837988826816,0.4883426712452557,0.2098345406135363,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3134020618556701,0.0,0.0,0.0,0.3134020618556701,0.3175257731958762,0.3134020618556701,0.0,0.0,0.0
76561198061669144,0.0321229050279329,0.0075004518344478,0.5571906088967152,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8857142857142857,0.0,0.0,0.8685714285714285,0.8857142857142857,0.0,0.8857142857142857
76561198064800033,0.074022346368715,1.0,0.9061410422118588,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7414634146341464,0.0,0.0,0.0,0.7414634146341463,0.751219512195122,0.7414634146341463,0.0,0.0,0.0
76561198068123705,0.0027932960893854,0.0,0.2978693527845058,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9870129870129872,1.0,0.9870129870129872,0.0,0.0,0.0
76561198088342032,0.2472067039106145,0.2851979034881619,0.0550768931836377,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4620060790273556,0.0,0.0,0.0,0.4620060790273556,0.4680851063829787,0.4620060790273556,0.0,0.0,0.0
76561198105784816,0.0544692737430167,0.07834809325863,0.1612454345365696,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9528795811518324,0.0,0.7958115183246074,0.8062827225130891,0.0,0.8115183246073299,0.0,0.0
76561198107047766,0.2932960893854749,0.0710283752033255,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4281767955801104,0.4198895027624309,0.0,0.4198895027624309,0.0,0.0,0.4281767955801104
76561198108773562,0.1047486033519553,0.2255557563708657,0.4690850124374611,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.669603524229075,0.0,0.0,0.0,0.669603524229075,0.6784140969162996,0.669603524229075,0.0,0.0,0.0
76561198118915505,0.0446927374301676,0.0720224109886137,0.2072392015772768,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8369565217391305,0.0,0.0,0.8260869565217391,0.8369565217391304,0.0,0.842391304347826,0.0,0.0
76561198121696622,0.1075418994413408,0.110337972166998,0.4207043081315428,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6768558951965065,0.6637554585152838,0.0,0.6637554585152838,0.0,0.0,0.6768558951965065
76561198122292277,0.0516759776536313,0.1642870052412796,0.7203403349139488,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8042328042328043,0.0,0.0,0.0,0.8042328042328042,0.8148148148148148,0.8042328042328042,0.0,0.0,0.0
76561198147075448,0.0307262569832402,0.0737393818904753,0.1137527104505106,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8850574712643678,0.0,0.0,0.8735632183908046,0.8850574712643678,0.8735632183908046,0.0,0.0,0.0
76561198150437413,0.0153631284916201,0.0537682992951382,0.0688390914948292,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.932515337423313,0.0,0.0,0.0,0.9325153374233128,0.9447852760736196,0.9325153374233128,0.0,0.0,0.0
76561198159956177,0.0474860335195531,0.1722392915235857,0.2154357939751047,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8172043010752689,0.0,0.0,0.0,0.8172043010752689,0.8279569892473119,0.8172043010752689,0.0,0.0,0.0
76561198170036259,0.138268156424581,0.3430327128140249,0.3819035831978825,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6055776892430279,0.0,0.0,0.0,0.6055776892430279,0.6135458167330677,0.6055776892430279,0.0,0.0,0.0
76561198192893105,0.0893854748603352,0.283571299475872,0.2984494014631369,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7175925925925926,0.0,0.0,0.7037037037037037,0.7175925925925926,0.0,0.7175925925925926
76561198201248007,0.3337988826815642,0.3146575094885234,0.1732658448950898,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3887468030690537,0.0,0.0,0.0,0.3887468030690537,0.3938618925831202,0.3887468030690537,0.0,0.0,0.0
76561198336656213,0.2793296089385475,0.0217784203867702,0.0613540688758223,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5170454545454545,0.0,0.4318181818181818,0.4375,0.4318181818181818,0.0,0.0,0.0
76561198353192608,0.0516759776536313,0.0490692210374118,0.0893294644312511,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629628,0.0,0.8042328042328042,0.8148148148148148,0.8042328042328042,0.0,0.0,0.0
76561198796747013,0.0935754189944134,0.1548888487258268,0.1103170913029097,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6940639269406393,0.0,0.0,0.0,0.6940639269406392,0.7031963470319634,0.6940639269406392,0.0,0.0,0.0
76561198829145577,0.0027932960893854,0.0754563527923368,0.06684084745243,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9870129870129872,0.0,0.0,0.0,0.9870129870129872,1.0,0.9870129870129872,0.0,0.0,0.0
76561198961717161,0.0055865921787709,0.0483462859208386,0.1188384483604514,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9743589743589745,0.0,0.0,0.0,0.9743589743589745,0.9871794871794872,0.9743589743589745,0.0,0.0,0.0
76561198975545285,0.2681564245810056,0.1944695463582143,0.1528941700644314,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4418604651162791,0.0,0.0,0.0,0.4418604651162791,0.4476744186046512,0.4418604651162791,0.0,0.0,0.0
76561199027285610,0.0097765363128491,0.1848002891740466,0.2386074393637669,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9559748427672956,0.0,0.0,0.0,0.9559748427672956,0.9685534591194968,0.9559748427672956,0.0,0.0,0.0
76561199122194203,0.0,0.0173504427977589,0.2957000038062077,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
